ds,y
2022-11-07T09:19:55.577725667Z,750
2022-11-07T09:20:18.298704792Z,325
2022-11-07T09:20:20.853741709Z,212
2022-11-07T09:20:23.309194Z,192
2022-11-07T09:20:25.871001584Z,192
2022-11-07T09:20:28.327943334Z,141
2022-11-07T09:20:30.7865305Z,196
2022-11-07T09:20:33.345787959Z,194
2022-11-07T09:20:35.768998959Z,187
2022-11-07T09:20:38.364678459Z,192
2022-11-07T09:20:40.82074025Z,159
2022-11-07T09:20:43.2810055Z,193
2022-11-07T09:20:45.841231959Z,113
2022-11-07T09:20:48.279560792Z,201
2022-11-07T09:20:50.854772334Z,225
2022-11-07T09:20:53.316032959Z,217
2022-11-07T09:20:55.874404042Z,250
2022-11-07T09:20:58.332326917Z,144
2022-11-07T09:21:00.769308792Z,245
2022-11-07T09:21:03.352255875Z,256
2022-11-07T09:21:05.807197417Z,235
2022-11-07T09:21:08.370590125Z,240
2022-11-07T09:21:10.825228834Z,208
2022-11-07T09:21:13.291105667Z,242
2022-11-07T09:21:15.846915Z,234
2022-11-07T09:21:18.300576125Z,207
2022-11-07T09:21:20.860670709Z,195
2022-11-07T09:21:23.2670165Z,160
2022-11-07T09:21:25.767847417Z,170
2022-11-07T09:21:28.351258834Z,55
2022-11-07T09:21:30.768781917Z,163
2022-11-07T09:21:33.321757875Z,161
2022-11-07T09:21:35.767347834Z,154
2022-11-07T09:21:38.372226Z,172
2022-11-07T09:21:40.827817875Z,89
2022-11-07T09:21:43.287212375Z,162
2022-11-07T09:21:45.771161834Z,173
2022-11-07T09:21:48.307433459Z,176
2022-11-07T09:21:50.769361917Z,170
2022-11-07T09:21:53.321938917Z,144
2022-11-07T09:21:55.780699792Z,158
2022-11-07T09:21:58.270169375Z,138
2022-11-07T09:22:00.798470459Z,160
2022-11-07T09:22:03.360346167Z,155
2022-11-07T09:22:05.817397084Z,157
2022-11-07T09:22:08.376034417Z,160
2022-11-07T09:22:10.834870125Z,93
2022-11-07T09:22:13.292680834Z,187
2022-11-07T09:22:15.850234917Z,207
2022-11-07T09:22:18.310368542Z,197
2022-11-07T09:22:20.76660375Z,202
2022-11-07T09:22:23.326559709Z,166
2022-11-07T09:22:25.784338625Z,208
2022-11-07T09:22:28.345031417Z,211
2022-11-07T09:22:30.8010675Z,223
2022-11-07T09:22:33.364352709Z,206
2022-11-07T09:22:35.818987334Z,145
2022-11-07T09:22:38.278833625Z,145
2022-11-07T09:22:40.827140084Z,21
2022-11-07T09:22:43.267623042Z,154
2022-11-07T09:22:45.8573055Z,138
2022-11-07T09:22:48.267523875Z,144
2022-11-07T09:22:50.872599625Z,149
2022-11-07T09:22:53.333070875Z,98
2022-11-07T09:22:55.769401417Z,185
2022-11-07T09:22:58.356646667Z,201
2022-11-07T09:23:00.809533834Z,195
2022-11-07T09:23:03.367344834Z,197
2022-11-07T09:23:05.825029875Z,175
2022-11-07T09:23:08.282856667Z,201
2022-11-07T09:23:10.771479667Z,203
2022-11-07T09:23:13.302392459Z,196
2022-11-07T09:23:15.860188209Z,214
2022-11-07T09:23:18.301091292Z,198
2022-11-07T09:23:20.8777495Z,174
2022-11-07T09:23:23.338105167Z,27
2022-11-07T09:23:25.791141334Z,140
2022-11-07T09:23:28.356525834Z,145
2022-11-07T09:23:30.769638584Z,143
2022-11-07T09:23:33.374110917Z,128
2022-11-07T09:23:35.830355417Z,90
2022-11-07T09:23:38.290664375Z,144
2022-11-07T09:23:40.84720125Z,145
2022-11-07T09:23:43.271466709Z,147
2022-11-07T09:23:45.864843292Z,173
2022-11-07T09:23:48.322342209Z,165
2022-11-07T09:23:50.768847917Z,192
2022-11-07T09:23:53.342084042Z,134
2022-11-07T09:23:55.798455125Z,201
2022-11-07T09:23:58.363106Z,195
2022-11-07T09:24:00.815829709Z,203
2022-11-07T09:24:03.269088625Z,219
2022-11-07T09:24:05.835329792Z,99
2022-11-07T09:24:08.291346292Z,176
2022-11-07T09:24:10.851870375Z,160
2022-11-07T09:24:13.310349334Z,141
2022-11-07T09:24:15.771756042Z,141
2022-11-07T09:24:18.311339209Z,102
2022-11-07T09:24:20.769996042Z,139
2022-11-07T09:24:23.347159834Z,146
2022-11-07T09:24:25.804162959Z,138
2022-11-07T09:24:28.36347475Z,141
2022-11-07T09:24:30.772226417Z,133
2022-11-07T09:24:33.277860167Z,139
2022-11-07T09:24:35.770699792Z,12
2022-11-07T09:24:38.298309875Z,137
2022-11-07T09:24:40.858399542Z,129
2022-11-07T09:24:43.270824625Z,0
2022-11-07T09:24:45.773164917Z,135
2022-11-07T09:24:48.270461959Z,97
2022-11-07T09:24:50.769628292Z,160
2022-11-07T09:24:53.268947667Z,176
2022-11-07T09:24:55.80828075Z,183
2022-11-07T09:24:58.3671505Z,199
2022-11-07T09:25:00.825897917Z,167
2022-11-07T09:25:03.283523584Z,190
2022-11-07T09:25:05.84300925Z,215
2022-11-07T09:25:08.300973292Z,210
2022-11-07T09:25:10.862419959Z,209
2022-11-07T09:25:13.290386125Z,197
2022-11-07T09:25:15.781525042Z,235
2022-11-07T09:25:18.337073459Z,82
2022-11-07T09:25:20.771716959Z,237
2022-11-07T09:25:23.357446334Z,217
2022-11-07T09:25:25.8130935Z,207
2022-11-07T09:25:28.273782084Z,227
2022-11-07T09:25:30.830340834Z,157
2022-11-07T09:25:33.273349542Z,164
2022-11-07T09:26:08.27770775Z,182
2022-11-07T09:26:10.876864625Z,187
2022-11-07T09:26:13.271625709Z,172
2022-11-07T09:26:15.774360875Z,189
2022-11-07T09:26:18.270176459Z,174
2022-11-07T09:26:20.772129292Z,175
2022-11-07T09:26:23.36506Z,176
2022-11-07T09:26:25.77148075Z,144
2022-11-07T09:26:28.271813042Z,186
2022-11-07T09:26:30.841879459Z,79
2022-11-07T09:26:33.297111042Z,186
2022-11-07T09:26:35.8586825Z,198
2022-11-07T09:26:38.273739834Z,208
2022-11-07T09:26:40.875272459Z,182
2022-11-07T09:26:43.335867834Z,98
2022-11-07T09:26:45.79538375Z,124
2022-11-07T09:26:48.308693042Z,128
2022-11-07T09:26:50.772217459Z,136
2022-11-07T09:26:53.368000042Z,137
2022-11-07T09:26:55.8250595Z,49
2022-11-07T09:26:58.288509959Z,135
2022-11-07T09:27:00.775294792Z,112
2022-11-07T09:27:03.304285334Z,151
2022-11-07T09:27:05.863085459Z,175
2022-11-07T09:27:08.272825042Z,176
2022-11-07T09:27:10.8854355Z,178
2022-11-07T09:27:13.272010334Z,74
2022-11-07T09:27:15.797505334Z,176
2022-11-07T09:27:18.357038042Z,181
2022-11-07T09:27:20.813494459Z,192
2022-11-07T09:27:23.290506209Z,188
2022-11-07T09:27:25.831306417Z,37
2022-11-07T09:27:28.289086959Z,167
2022-11-07T09:27:30.848100084Z,143
2022-11-07T09:27:33.308889125Z,128
2022-11-07T09:27:35.784748334Z,128
2022-11-07T09:27:38.27507725Z,106
2022-11-07T09:27:40.784072584Z,128
2022-11-07T09:27:43.343492084Z,7
2022-11-07T09:27:45.799646417Z,121
2022-11-07T09:27:48.274646667Z,128
