ds,y
2022-11-07T09:19:55.577661084Z,52.6
2022-11-07T09:20:18.297219084Z,56.6
2022-11-07T09:20:20.852867667Z,56.7
2022-11-07T09:20:23.3090375Z,56.9
2022-11-07T09:20:25.870717292Z,57
2022-11-07T09:20:28.32772875Z,56.9
2022-11-07T09:20:30.786319375Z,56.9
2022-11-07T09:20:33.345586959Z,56.8
2022-11-07T09:20:35.7687535Z,56.7
2022-11-07T09:20:38.364458417Z,56.7
2022-11-07T09:20:40.820674834Z,56.6
2022-11-07T09:20:43.280793334Z,56.6
2022-11-07T09:20:45.841047209Z,56.6
2022-11-07T09:20:48.27943025Z,56.6
2022-11-07T09:20:50.854693Z,56.7
2022-11-07T09:20:53.315764375Z,56.7
2022-11-07T09:20:55.874194542Z,56.8
2022-11-07T09:20:58.332236875Z,56.9
2022-11-07T09:21:00.769160584Z,56.9
2022-11-07T09:21:03.352061917Z,56.8
2022-11-07T09:21:05.807049334Z,56.7
2022-11-07T09:21:08.370400042Z,56.6
2022-11-07T09:21:10.825173542Z,56.6
2022-11-07T09:21:13.29108375Z,56.6
2022-11-07T09:21:15.846698584Z,56.6
2022-11-07T09:21:18.300520792Z,56.6
2022-11-07T09:21:20.86059625Z,56.6
2022-11-07T09:21:23.266972584Z,56.7
2022-11-07T09:21:25.767809292Z,56.7
2022-11-07T09:21:28.351143667Z,56.8
2022-11-07T09:21:30.768613292Z,56.9
2022-11-07T09:21:33.32166825Z,56.9
2022-11-07T09:21:35.767297084Z,57
2022-11-07T09:21:38.372049875Z,57.1
2022-11-07T09:21:40.827743625Z,57.1
2022-11-07T09:21:43.287062959Z,57.2
2022-11-07T09:21:45.771093584Z,57.2
2022-11-07T09:21:48.30705Z,57.2
2022-11-07T09:21:50.769327875Z,57.3
2022-11-07T09:21:53.321913917Z,57.4
2022-11-07T09:21:55.780605209Z,57.5
2022-11-07T09:21:58.26857775Z,57.5
2022-11-07T09:22:00.798429125Z,57.5
2022-11-07T09:22:03.36019375Z,57.6
2022-11-07T09:22:05.817241917Z,57.7
2022-11-07T09:22:08.375981625Z,57.8
2022-11-07T09:22:10.834787375Z,57.8
2022-11-07T09:22:13.2926035Z,57.8
2022-11-07T09:22:15.85020475Z,57.8
2022-11-07T09:22:18.310323292Z,57.9
2022-11-07T09:22:20.766577542Z,57.9
2022-11-07T09:22:23.326539Z,58
2022-11-07T09:22:25.784306167Z,58
2022-11-07T09:22:28.344962625Z,58.1
2022-11-07T09:22:30.800986542Z,58.1
2022-11-07T09:22:33.364301417Z,58
2022-11-07T09:22:35.818900459Z,58.1
2022-11-07T09:22:38.277617209Z,58.1
2022-11-07T09:22:40.827110417Z,58.1
2022-11-07T09:22:43.267584459Z,58.2
2022-11-07T09:22:45.857102959Z,58.2
2022-11-07T09:22:48.267478625Z,58.1
2022-11-07T09:22:50.872509542Z,58
2022-11-07T09:22:53.332890459Z,57.9
2022-11-07T09:22:55.769239209Z,57.7
2022-11-07T09:22:58.356529584Z,57.7
2022-11-07T09:23:00.809317292Z,57.7
2022-11-07T09:23:03.367311209Z,57.5
2022-11-07T09:23:05.825004709Z,57.3
2022-11-07T09:23:08.282825334Z,57.2
2022-11-07T09:23:10.771442459Z,57.1
2022-11-07T09:23:13.302333542Z,57
2022-11-07T09:23:15.859997167Z,57
2022-11-07T09:23:18.3009225Z,57
2022-11-07T09:23:20.877715292Z,57.1
2022-11-07T09:23:23.337919709Z,57.1
2022-11-07T09:23:25.79110675Z,57.1
2022-11-07T09:23:28.354719917Z,57.1
2022-11-07T09:23:30.7694855Z,57.2
2022-11-07T09:23:33.373928625Z,57.2
2022-11-07T09:23:35.830323292Z,57.3
2022-11-07T09:23:38.290618167Z,57.3
2022-11-07T09:23:40.847114542Z,57.3
2022-11-07T09:23:43.271383084Z,57.4
2022-11-07T09:23:45.864775459Z,57.3
2022-11-07T09:23:48.32230175Z,57.3
2022-11-07T09:23:50.768789417Z,57.2
2022-11-07T09:23:53.341913042Z,57.3
2022-11-07T09:23:55.798379917Z,57.3
2022-11-07T09:23:58.363078084Z,57.3
2022-11-07T09:24:00.815779875Z,57.3
2022-11-07T09:24:03.2689325Z,57.3
2022-11-07T09:24:05.835297042Z,57.3
2022-11-07T09:24:08.291255167Z,57.3
2022-11-07T09:24:10.851814709Z,57.3
2022-11-07T09:24:13.310315375Z,57.4
2022-11-07T09:24:15.771590667Z,57.5
2022-11-07T09:24:18.311249459Z,57.4
2022-11-07T09:24:20.76980975Z,57.3
2022-11-07T09:24:23.347009375Z,57.2
2022-11-07T09:24:25.804045209Z,57.1
2022-11-07T09:24:28.363407042Z,57
2022-11-07T09:24:30.772064167Z,56.8
2022-11-07T09:24:33.277804834Z,56.8
2022-11-07T09:24:35.7705545Z,56.8
2022-11-07T09:24:38.29823375Z,56.8
2022-11-07T09:24:40.858246334Z,56.7
2022-11-07T09:24:43.270741125Z,56.7
2022-11-07T09:24:45.773143792Z,56.5
2022-11-07T09:24:48.270372042Z,56.5
2022-11-07T09:24:50.769605042Z,56.4
2022-11-07T09:24:53.268916084Z,56.5
2022-11-07T09:24:55.8075455Z,56.5
2022-11-07T09:24:58.367129792Z,56.5
2022-11-07T09:25:00.825837959Z,56.6
2022-11-07T09:25:03.28347025Z,56.6
2022-11-07T09:25:05.842949959Z,56.5
2022-11-07T09:25:08.300912625Z,56.5
2022-11-07T09:25:10.862362084Z,56.2
2022-11-07T09:25:13.290360292Z,55.8
2022-11-07T09:25:15.781429417Z,55.7
2022-11-07T09:25:18.337011Z,55.6
2022-11-07T09:25:20.771642125Z,55.6
2022-11-07T09:25:23.357279625Z,55.7
2022-11-07T09:25:25.812995042Z,55.8
2022-11-07T09:25:28.273618459Z,55.9
2022-11-07T09:25:30.83026825Z,55.9
2022-11-07T09:25:33.273191417Z,56
2022-11-07T09:26:08.277666584Z,56.1
2022-11-07T09:26:10.874913959Z,56.1
2022-11-07T09:26:13.271602292Z,56.2
2022-11-07T09:26:15.774293792Z,56.2
2022-11-07T09:26:18.270132875Z,56.3
2022-11-07T09:26:20.772105875Z,56.3
2022-11-07T09:26:23.364893334Z,56.4
2022-11-07T09:26:25.7714205Z,56.4
2022-11-07T09:26:28.271738334Z,56.4
2022-11-07T09:26:30.841846917Z,56.5
2022-11-07T09:26:33.297080167Z,56.4
2022-11-07T09:26:35.858514625Z,56.2
2022-11-07T09:26:38.27352475Z,56.1
2022-11-07T09:26:40.875206917Z,55.9
2022-11-07T09:26:43.335717125Z,55.7
2022-11-07T09:26:45.795233334Z,55.6
2022-11-07T09:26:48.308643292Z,55.5
2022-11-07T09:26:50.77217825Z,55.5
2022-11-07T09:26:53.367976584Z,55.5
2022-11-07T09:26:55.825008334Z,55.6
2022-11-07T09:26:58.288432375Z,55.6
2022-11-07T09:27:00.775230625Z,55.7
2022-11-07T09:27:03.304127167Z,55.8
2022-11-07T09:27:05.862991209Z,55.9
2022-11-07T09:27:08.272766792Z,55.9
2022-11-07T09:27:10.885372084Z,56
2022-11-07T09:27:13.271968834Z,56.2
2022-11-07T09:27:15.79736375Z,56.3
2022-11-07T09:27:18.356934042Z,56.5
2022-11-07T09:27:20.813435209Z,56.6
2022-11-07T09:27:23.290364042Z,56.7
2022-11-07T09:27:25.831269375Z,56.7
2022-11-07T09:27:28.289012709Z,56.8
2022-11-07T09:27:30.848069834Z,56.7
2022-11-07T09:27:33.308775959Z,56.5
2022-11-07T09:27:35.784334167Z,56.4
2022-11-07T09:27:38.275023917Z,56.3
2022-11-07T09:27:40.783924334Z,56.3
2022-11-07T09:27:43.343409292Z,56.2
2022-11-07T09:27:45.799510292Z,56
2022-11-07T09:27:48.274516667Z,55.7
2022-11-07T09:27:50.820401834Z,55.7
2022-11-07T09:27:53.378910209Z,55.7
2022-11-07T09:27:55.835829084Z,55.7
2022-11-07T09:27:58.294035959Z,55.7
2022-11-07T09:28:00.772120875Z,55.8
2022-11-07T09:28:03.312713542Z,55.9
2022-11-07T09:28:05.871613584Z,56.1
2022-11-07T09:28:08.328296792Z,56.1
2022-11-07T09:28:10.789466459Z,56.1
2022-11-07T09:28:13.272700084Z,56
2022-11-07T09:28:15.773377084Z,55.9
2022-11-07T09:28:18.366415625Z,55.7
2022-11-07T09:28:20.8230375Z,55.5
2022-11-07T09:28:23.273883167Z,55.4
2022-11-07T09:28:25.840802084Z,55.3
2022-11-07T09:28:28.275015709Z,55.3
2022-11-07T09:28:30.773787209Z,55.2
2022-11-07T09:28:33.315763792Z,55.2
2022-11-07T09:28:35.772654917Z,55.3
2022-11-07T09:28:38.273756042Z,55.4
2022-11-07T09:28:40.793573375Z,55.4
2022-11-07T09:28:43.35357275Z,55.4
