Zone,Id Sensore,Data-Ora, Media
Lambrate,2002,01/01/2018 00:00,99
Zavattari,6185,01/01/2018 00:00,86,9
Juvara,6179,01/01/2018 00:00,85
Brera,6174,01/01/2018 00:00,87,6
Marche,6597,01/01/2018 00:00,86,5
Lambrate,2002,01/01/2018 01:00,99,3
Zavattari,6185,01/01/2018 01:00,94,3
Juvara,6179,01/01/2018 01:00,85,5
Brera,6174,01/01/2018 01:00,90,1
Marche,6597,01/01/2018 01:00,87
Lambrate,2002,01/01/2018 02:00,99,8
Zavattari,6185,01/01/2018 02:00,95,2
Juvara,6179,01/01/2018 02:00,88,5
Brera,6174,01/01/2018 02:00,93,1
Marche,6597,01/01/2018 02:00,87,6
Lambrate,2002,01/01/2018 03:00,100
Zavattari,6185,01/01/2018 03:00,92,7
Juvara,6179,01/01/2018 03:00,90,5
Brera,6174,01/01/2018 03:00,92,8
Marche,6597,01/01/2018 03:00,88,1
Lambrate,2002,01/01/2018 04:00,100
Zavattari,6185,01/01/2018 04:00,91,9
Juvara,6179,01/01/2018 04:00,91,8
Brera,6174,01/01/2018 04:00,94,5
Marche,6597,01/01/2018 04:00,88,4
Lambrate,2002,01/01/2018 05:00,100
Zavattari,6185,01/01/2018 05:00,89,4
Juvara,6179,01/01/2018 05:00,93,6
Brera,6174,01/01/2018 05:00,95,3
Marche,6597,01/01/2018 05:00,88,8
Lambrate,2002,01/01/2018 06:00,100
Zavattari,6185,01/01/2018 06:00,93,5
Juvara,6179,01/01/2018 06:00,93,1
Brera,6174,01/01/2018 06:00,92,7
Marche,6597,01/01/2018 06:00,89,1
Lambrate,2002,01/01/2018 07:00,100
Zavattari,6185,01/01/2018 07:00,92,7
Juvara,6179,01/01/2018 07:00,93,2
Brera,6174,01/01/2018 07:00,95,4
Marche,6597,01/01/2018 07:00,89,3
Lambrate,2002,01/01/2018 08:00,100
Zavattari,6185,01/01/2018 08:00,89,5
Juvara,6179,01/01/2018 08:00,97,4
Brera,6174,01/01/2018 08:00,95,8
Marche,6597,01/01/2018 08:00,89,8
Lambrate,2002,01/01/2018 09:00,100
Zavattari,6185,01/01/2018 09:00,90,2
Juvara,6179,01/01/2018 09:00,99,1
Brera,6174,01/01/2018 09:00,94,9
Marche,6597,01/01/2018 09:00,90,1
Lambrate,2002,01/01/2018 10:00,100
Zavattari,6185,01/01/2018 10:00,85,2
Juvara,6179,01/01/2018 10:00,99,8
Brera,6174,01/01/2018 10:00,94,1
Marche,6597,01/01/2018 10:00,90,3
Lambrate,2002,01/01/2018 11:00,100
Zavattari,6185,01/01/2018 11:00,95,1
Juvara,6179,01/01/2018 11:00,100
Brera,6174,01/01/2018 11:00,95,4
Marche,6597,01/01/2018 11:00,90,4
Lambrate,2002,01/01/2018 12:00,100
Zavattari,6185,01/01/2018 12:00,90,2
Juvara,6179,01/01/2018 12:00,100
Brera,6174,01/01/2018 12:00,95
Marche,6597,01/01/2018 12:00,90,6
Lambrate,2002,01/01/2018 13:00,100
Zavattari,6185,01/01/2018 13:00,92,7
Juvara,6179,01/01/2018 13:00,100
Brera,6174,01/01/2018 13:00,93,7
Marche,6597,01/01/2018 13:00,90,7
Lambrate,2002,01/01/2018 14:00,100
Zavattari,6185,01/01/2018 14:00,93,5
Juvara,6179,01/01/2018 14:00,100
Brera,6174,01/01/2018 14:00,93,9
Marche,6597,01/01/2018 14:00,90,8
Lambrate,2002,01/01/2018 15:00,100
Zavattari,6185,01/01/2018 15:00,95,2
Juvara,6179,01/01/2018 15:00,97,1
Brera,6174,01/01/2018 15:00,92,3
Marche,6597,01/01/2018 15:00,91
Lambrate,2002,01/01/2018 16:00,100
Zavattari,6185,01/01/2018 16:00,96,8
Juvara,6179,01/01/2018 16:00,91,8
Brera,6174,01/01/2018 16:00,90,6
Marche,6597,01/01/2018 16:00,91
Lambrate,2002,01/01/2018 17:00,99,7
Zavattari,6185,01/01/2018 17:00,98,4
Juvara,6179,01/01/2018 17:00,90,5
Brera,6174,01/01/2018 17:00,90,2
Marche,6597,01/01/2018 17:00,91
Lambrate,2002,01/01/2018 18:00,99,5
Zavattari,6185,01/01/2018 18:00,96
Juvara,6179,01/01/2018 18:00,89,8
Brera,6174,01/01/2018 18:00,90
Marche,6597,01/01/2018 18:00,91
