ds,y
2022-11-07T09:19:55.576000041Z,23
2022-11-07T09:20:18.296123334Z,16.4
2022-11-07T09:20:20.851790209Z,16.1
2022-11-07T09:20:23.308454584Z,16.1
2022-11-07T09:20:25.868063834Z,16.1
2022-11-07T09:20:28.32574475Z,16.1
2022-11-07T09:20:30.785208125Z,16.1
2022-11-07T09:20:33.344385542Z,16.1
2022-11-07T09:20:35.766215959Z,16.1
2022-11-07T09:20:38.362348584Z,16.1
2022-11-07T09:20:40.820252334Z,16.1
2022-11-07T09:20:43.279036334Z,16.1
2022-11-07T09:20:45.839891667Z,16.1
2022-11-07T09:20:48.278228542Z,16.1
2022-11-07T09:20:50.854232084Z,16.1
2022-11-07T09:20:53.313948709Z,16.1
2022-11-07T09:20:55.873038584Z,16.1
2022-11-07T09:20:58.331494125Z,16.1
2022-11-07T09:21:00.768449542Z,16.1
2022-11-07T09:21:03.350793375Z,16.1
2022-11-07T09:21:05.806141084Z,16.1
2022-11-07T09:21:08.369355042Z,16.1
2022-11-07T09:21:10.823648Z,16.1
2022-11-07T09:21:13.290782417Z,16.1
2022-11-07T09:21:15.844578292Z,16.1
2022-11-07T09:21:18.298661584Z,16.1
2022-11-07T09:21:20.86000625Z,16.1
2022-11-07T09:21:23.266105125Z,16.1
2022-11-07T09:21:25.767100042Z,16.1
2022-11-07T09:21:28.347592584Z,16.1
2022-11-07T09:21:30.76648Z,16.1
2022-11-07T09:21:33.321046834Z,16.1
2022-11-07T09:21:35.767030959Z,16.1
2022-11-07T09:21:38.37118175Z,16.1
2022-11-07T09:21:40.827114834Z,16.1
2022-11-07T09:21:43.286182334Z,16.1
2022-11-07T09:21:45.770649292Z,16.1
2022-11-07T09:21:48.306856209Z,16.1
2022-11-07T09:21:50.767822625Z,16.1
2022-11-07T09:21:53.321747584Z,16.1
2022-11-07T09:21:55.780038292Z,16.1
2022-11-07T09:21:58.26804375Z,16.1
2022-11-07T09:22:00.79769125Z,16.1
2022-11-07T09:22:03.3593415Z,16.1
2022-11-07T09:22:05.816415959Z,16.1
2022-11-07T09:22:08.375678167Z,16.1
2022-11-07T09:22:10.834172167Z,16.1
2022-11-07T09:22:13.292085792Z,16.1
2022-11-07T09:22:15.849920209Z,16.1
2022-11-07T09:22:18.308929584Z,16.2
2022-11-07T09:22:20.766399625Z,16.1
2022-11-07T09:22:23.326375375Z,16.1
2022-11-07T09:22:25.783915834Z,16.1
2022-11-07T09:22:28.344566834Z,16.1
2022-11-07T09:22:30.800589959Z,16.1
2022-11-07T09:22:33.364040042Z,16.2
2022-11-07T09:22:35.818473875Z,16.2
2022-11-07T09:22:38.277429459Z,16.2
2022-11-07T09:22:40.826297125Z,16.2
2022-11-07T09:22:43.267398959Z,16.2
2022-11-07T09:22:45.854539292Z,16.2
2022-11-07T09:22:48.267200667Z,16.2
2022-11-07T09:22:50.871860792Z,16.2
2022-11-07T09:22:53.331751625Z,16.2
2022-11-07T09:22:55.768368542Z,16.2
2022-11-07T09:22:58.349878792Z,16.2
2022-11-07T09:23:00.808496375Z,16.2
2022-11-07T09:23:03.36710875Z,16.2
2022-11-07T09:23:05.824777917Z,16.2
2022-11-07T09:23:08.282623542Z,16.2
2022-11-07T09:23:10.771013042Z,16.2
2022-11-07T09:23:13.301912Z,16.2
2022-11-07T09:23:15.859139542Z,16.2
2022-11-07T09:23:18.300096375Z,16.2
2022-11-07T09:23:20.877483209Z,16.2
2022-11-07T09:23:23.337045917Z,16.2
2022-11-07T09:23:25.7907845Z,16.2
2022-11-07T09:23:28.353910959Z,16.2
2022-11-07T09:23:30.768602459Z,16.2
2022-11-07T09:23:33.372711875Z,16.2
2022-11-07T09:23:35.830148792Z,16.2
2022-11-07T09:23:38.29033125Z,16.2
2022-11-07T09:23:40.846675375Z,16.2
2022-11-07T09:23:43.269992875Z,16.2
2022-11-07T09:23:45.864446959Z,16.2
2022-11-07T09:23:48.322048959Z,16.2
2022-11-07T09:23:50.768445542Z,16.3
2022-11-07T09:23:53.341128834Z,16.3
2022-11-07T09:23:55.797737792Z,16.3
2022-11-07T09:23:58.361893709Z,16.3
2022-11-07T09:24:00.815498625Z,16.2
2022-11-07T09:24:03.268312834Z,16.3
2022-11-07T09:24:05.835055375Z,16.3
2022-11-07T09:24:08.290871542Z,16.3
2022-11-07T09:24:10.851419542Z,16.3
2022-11-07T09:24:13.310096084Z,16.3
2022-11-07T09:24:15.770768125Z,16.3
2022-11-07T09:24:18.31054875Z,16.3
2022-11-07T09:24:20.769337417Z,16.3
2022-11-07T09:24:23.346247875Z,16.4
2022-11-07T09:24:25.803356584Z,16.3
2022-11-07T09:24:28.362926834Z,16.3
2022-11-07T09:24:30.76950175Z,16.3
2022-11-07T09:24:33.27749125Z,16.3
2022-11-07T09:24:35.769697542Z,16.3
2022-11-07T09:24:38.297855542Z,16.3
2022-11-07T09:24:40.857433709Z,16.4
2022-11-07T09:24:43.269419542Z,16.3
2022-11-07T09:24:45.772965Z,16.3
2022-11-07T09:24:48.269849167Z,16.4
2022-11-07T09:24:50.769350125Z,16.4
2022-11-07T09:24:53.268759625Z,16.3
2022-11-07T09:24:55.807212292Z,16.3
2022-11-07T09:24:58.366977125Z,16.4
2022-11-07T09:25:00.8254615Z,16.3
2022-11-07T09:25:03.283106875Z,16.3
2022-11-07T09:25:05.842657375Z,16.3
2022-11-07T09:25:08.300591292Z,16.3
2022-11-07T09:25:10.862021667Z,16.3
2022-11-07T09:25:13.290081042Z,16.4
2022-11-07T09:25:15.769602542Z,16.3
2022-11-07T09:25:18.336639042Z,16.4
2022-11-07T09:25:20.771038084Z,16.4
2022-11-07T09:25:23.356496417Z,16.4
2022-11-07T09:25:25.812585Z,16.4
2022-11-07T09:25:28.271847917Z,16.4
2022-11-07T09:25:30.829743Z,16.4
2022-11-07T09:25:33.272384125Z,16.4
2022-11-07T09:26:08.271745542Z,16.4
2022-11-07T09:26:10.874681209Z,16.4
2022-11-07T09:26:13.271414084Z,16.4
2022-11-07T09:26:15.773882875Z,16.4
2022-11-07T09:26:18.269830625Z,16.4
2022-11-07T09:26:20.771943209Z,16.4
2022-11-07T09:26:23.364166792Z,16.4
2022-11-07T09:26:25.771094625Z,16.4
2022-11-07T09:26:28.271010542Z,16.4
2022-11-07T09:26:30.8411965Z,16.4
2022-11-07T09:26:33.296690542Z,16.4
2022-11-07T09:26:35.857715959Z,16.4
2022-11-07T09:26:38.272409375Z,16.4
2022-11-07T09:26:40.874813125Z,16.4
2022-11-07T09:26:43.334842959Z,16.4
2022-11-07T09:26:45.794451917Z,16.4
2022-11-07T09:26:48.307960792Z,16.4
2022-11-07T09:26:50.771950667Z,16.4
2022-11-07T09:26:53.367811375Z,16.4
2022-11-07T09:26:55.824688667Z,16.4
2022-11-07T09:26:58.287955209Z,16.4
2022-11-07T09:27:00.774844042Z,16.4
2022-11-07T09:27:03.303291542Z,16.4
2022-11-07T09:27:05.8619875Z,16.4
2022-11-07T09:27:08.272454292Z,16.4
2022-11-07T09:27:10.882099792Z,16.4
2022-11-07T09:27:13.27170075Z,16.4
2022-11-07T09:27:15.796554709Z,16.4
2022-11-07T09:27:18.35624625Z,16.4
2022-11-07T09:27:20.813009417Z,16.4
2022-11-07T09:27:23.287778625Z,16.4
2022-11-07T09:27:25.831016667Z,16.4
2022-11-07T09:27:28.288678709Z,16.4
2022-11-07T09:27:30.847902625Z,16.4
2022-11-07T09:27:33.30696375Z,16.4
2022-11-07T09:27:35.783467125Z,16.4
2022-11-07T09:27:38.274624625Z,16.5
2022-11-07T09:27:40.783056459Z,16.5
2022-11-07T09:27:43.342383959Z,16.4
2022-11-07T09:27:45.798724042Z,16.5
2022-11-07T09:27:48.27358275Z,16.5
2022-11-07T09:27:50.820113584Z,16.5
2022-11-07T09:27:53.37822825Z,16.5
2022-11-07T09:27:55.835059459Z,16.5
2022-11-07T09:27:58.29373775Z,16.5
2022-11-07T09:28:00.771645542Z,16.4
2022-11-07T09:28:03.311625167Z,16.5
2022-11-07T09:28:05.870953917Z,16.5
2022-11-07T09:28:08.328093834Z,16.5
2022-11-07T09:28:10.789234292Z,16.5
2022-11-07T09:28:13.27254125Z,16.5
2022-11-07T09:28:15.773201417Z,16.5
2022-11-07T09:28:18.36561Z,16.5
2022-11-07T09:28:20.822797875Z,16.5
2022-11-07T09:28:23.273646167Z,16.5
2022-11-07T09:28:25.840110417Z,16.5
2022-11-07T09:28:28.274795334Z,16.5
2022-11-07T09:28:30.773574875Z,16.5
2022-11-07T09:28:33.31546875Z,16.5
2022-11-07T09:28:35.77239975Z,16.5
2022-11-07T09:28:38.273607792Z,16.5
2022-11-07T09:28:40.792632417Z,16.5
2022-11-07T09:28:43.352774709Z,16.5
2022-11-07T09:28:45.807252834Z,16.5
2022-11-07T09:28:48.276450625Z,16.5
2022-11-07T09:28:50.827316834Z,16.5
2022-11-07T09:28:53.286567959Z,16.5
2022-11-07T09:28:55.775162459Z,16.5
2022-11-07T09:28:58.303049167Z,16.5
2022-11-07T09:29:00.774269917Z,16.5
2022-11-07T09:29:03.320800542Z,16.5
2022-11-07T09:29:05.772282209Z,16.5
2022-11-07T09:29:08.338421542Z,16.5
2022-11-07T09:29:10.773478167Z,16.5
2022-11-07T09:29:13.356186667Z,16.5
2022-11-07T09:29:15.81389575Z,16.5
2022-11-07T09:29:18.372927625Z,16.5
2022-11-07T09:29:20.832896875Z,16.5
2022-11-07T09:29:23.289088125Z,16.5
2022-11-07T09:29:25.849444334Z,16.5
2022-11-07T09:29:28.306881417Z,16.5
2022-11-07T09:29:30.867179667Z,16.6
2022-11-07T09:29:33.272959625Z,16.5
2022-11-07T09:29:35.781929459Z,16.5
2022-11-07T09:29:38.345673167Z,16.5
2022-11-07T09:29:40.800640959Z,16.5
2022-11-07T09:29:43.361888667Z,16.5
2022-11-07T09:29:45.776921292Z,16.5
2022-11-07T09:29:48.37934225Z,16.5
2022-11-07T09:29:50.836792875Z,16.6
2022-11-07T09:29:53.294693167Z,16.6
2022-11-07T09:29:55.853137375Z,16.6
2022-11-07T09:29:58.275443292Z,16.6
2022-11-07T09:30:00.77739425Z,16.6
2022-11-07T09:30:03.276717625Z,16.6
2022-11-07T09:30:05.787297042Z,16.6
2022-11-07T09:30:08.274510459Z,16.6
2022-11-07T09:30:10.804993167Z,16.6
2022-11-07T09:30:13.365521459Z,16.6
2022-11-07T09:30:15.822093709Z,16.6
2022-11-07T09:30:18.383212542Z,16.6
2022-11-07T09:30:20.773311834Z,16.6
2022-11-07T09:30:23.298572459Z,16.6
2022-11-07T09:30:25.85806375Z,16.6
2022-11-07T09:30:28.317725875Z,16.6
2022-11-07T09:30:30.876697292Z,16.6
2022-11-07T09:30:33.334589375Z,16.6
2022-11-07T09:30:35.790191209Z,16.6
2022-11-07T09:30:38.352503625Z,16.6
2022-11-07T09:30:40.811289167Z,16.6
2022-11-07T09:30:43.371008542Z,16.6
2022-11-07T09:30:45.82606175Z,16.6
2022-11-07T09:30:48.28652675Z,16.6
2022-11-07T09:30:50.846670875Z,16.6
2022-11-07T09:30:53.3045335Z,16.6
2022-11-07T09:30:55.775240959Z,16.6
2022-11-07T09:30:58.322168625Z,16.6
2022-11-07T09:31:00.883853875Z,16.6
2022-11-07T09:31:03.339122709Z,16.6
2022-11-07T09:31:05.795489375Z,16.5
2022-11-07T09:31:08.357532542Z,16.6
2022-11-07T09:31:10.815282084Z,16.6
2022-11-07T09:31:13.275588792Z,16.6
2022-11-07T09:31:15.831207834Z,16.6
2022-11-07T09:31:18.276095625Z,16.6
2022-11-07T09:31:20.850748834Z,16.6
2022-11-07T09:31:23.308066Z,16.6
2022-11-07T09:31:25.8681955Z,16.6
2022-11-07T09:31:28.3270405Z,16.6
2022-11-07T09:31:30.777204959Z,16.6
2022-11-07T09:31:33.344018584Z,16.6
2022-11-07T09:31:35.800047417Z,16.6
2022-11-07T09:31:38.362275375Z,16.6
2022-11-07T09:31:40.819760334Z,16.6
2022-11-07T09:31:43.379919459Z,16.6
2022-11-07T09:31:45.836171917Z,16.6
2022-11-07T09:31:48.295744709Z,16.6
2022-11-07T09:31:50.854684084Z,16.6
2022-11-07T09:31:53.281542167Z,16.6
2022-11-07T09:31:55.872170959Z,16.6
2022-11-07T09:31:58.330866834Z,16.6
2022-11-07T09:32:00.789694042Z,16.6
2022-11-07T09:32:03.307228292Z,16.6
2022-11-07T09:32:05.808302084Z,16.6
2022-11-07T09:32:08.367463584Z,16.6
2022-11-07T09:32:10.824493209Z,16.6
2022-11-07T09:32:13.276668709Z,16.6
2022-11-07T09:32:15.777345625Z,16.6
2022-11-07T09:32:18.299822084Z,16.6
2022-11-07T09:32:20.860262042Z,16.6
