_time,_value,PREC,RHAVG,RAD,W_SCAL_INT,W_VEC_DIR,W_VEC_INT,LEAFW,ET0
2021-01-01 00:00:00,4.3,0.4,89.4,0.0,1.6,315.7,1.6,1.0,0.0
2021-01-01 01:00:00,4.1,0.4,88.6,0.0,0.8,340.7,0.7,1.0,0.0
2021-01-01 02:00:00,4.0,0.0,89.1,0.0,0.6,226.3,0.5,1.0,0.0
2021-01-01 03:00:00,3.8,0.2,91.7,0.0,0.7,17.9,0.4,1.0,0.0
2021-01-01 04:00:00,3.5,0.0,90.3,0.0,0.8,185.7,0.3,1.0,0.0
2021-01-01 05:00:00,3.3,0.0,90.9,0.0,1.2,322.9,1.1,1.0,0.0
2021-01-01 06:00:00,2.7,0.2,92.7,0.0,1.3,323.9,1.1,1.0,0.0
2021-01-01 07:00:00,2.7,0.0,94.0,0.0,0.4,186.2,0.1,1.0,0.0
2021-01-01 08:00:00,2.9,0.0,94.3,5.5,0.6,68.6,0.3,1.0,0.0
2021-01-01 09:00:00,3.4,0.6,93.1,17.4,1.3,59.6,0.9,1.0,0.0
2021-01-01 10:00:00,3.5,0.6,93.3,24.0,1.0,329.4,0.7,1.0,0.0
2021-01-01 11:00:00,3.9,0.4,94.1,54.1,0.9,355.6,0.7,1.0,0.0
2021-01-01 12:00:00,3.9,1.3,94.3,41.8,1.7,294.4,1.6,1.0,0.0
2021-01-01 13:00:00,4.3,0.8,92.5,42.0,0.5,110.5,0.1,1.0,0.0
2021-01-01 14:00:00,5.0,1.3,92.2,75.5,0.9,62.4,0.7,1.0,0.0
2021-01-01 15:00:00,5.4,0.0,92.4,35.8,1.5,77.5,1.7,1.0,0.0
2021-01-01 16:00:00,5.6,0.0,92.5,6.7,1.5,129.2,1.3,1.0,0.0
2021-01-01 17:00:00,5.3,0.0,91.2,0.0,0.5,325.6,0.1,1.0,0.0
2021-01-01 18:00:00,4.0,0.0,93.3,0.0,2.2,285.4,2.0,1.0,0.0
2021-01-01 19:00:00,3.0,0.0,93.7,0.0,3.1,287.7,2.8,1.0,0.0
2021-01-01 20:00:00,2.7,0.0,94.1,0.0,2.9,283.4,2.7,1.0,0.0
2021-01-01 21:00:00,2.7,0.0,93.9,0.0,2.8,287.1,2.6,1.0,0.0
2021-01-01 22:00:00,2.5,0.0,95.1,0.0,2.6,286.7,2.4,1.0,0.0
2021-01-01 23:00:00,2.6,0.0,93.8,0.0,2.6,282.0,2.3,1.0,0.0
2021-01-02 00:00:00,2.5,0.0,94.1,0.0,1.9,294.4,1.8,1.0,0.0
2021-01-02 01:00:00,2.5,0.0,93.7,0.0,1.9,291.4,1.8,1.0,0.0
2021-01-02 02:00:00,2.6,0.0,93.6,0.0,1.2,288.8,1.1,1.0,0.0
2021-01-02 03:00:00,2.6,0.2,94.2,0.0,1.5,268.1,1.4,1.0,0.0
2021-01-02 04:00:00,2.7,1.4,93.8,0.0,1.4,279.4,1.3,1.0,0.0
2021-01-02 05:00:00,2.8,0.0,94.1,0.0,1.5,281.7,1.3,1.0,0.0
2021-01-02 06:00:00,3.0,0.2,93.6,0.0,0.8,8.1,0.2,1.0,0.0
2021-01-02 07:00:00,3.1,0.0,93.2,0.0,0.7,235.1,0.6,1.0,0.0
2021-01-02 08:00:00,3.2,0.2,94.1,8.4,0.6,319.8,0.4,1.0,0.0
2021-01-02 09:00:00,3.7,1.2,94.7,25.6,1.0,9.2,0.8,1.0,0.0
2021-01-02 10:00:00,4.6,0.2,93.1,45.9,0.7,43.4,0.6,1.0,0.0
2021-01-02 11:00:00,5.1,0.4,94.3,67.6,1.1,66.9,0.3,1.0,0.0
2021-01-02 12:00:00,6.0,0.0,95.6,88.3,0.8,122.2,0.3,1.0,0.0
2021-01-02 13:00:00,6.4,0.0,93.3,102.8,1.6,128.0,0.8,1.0,0.0
2021-01-02 14:00:00,7.2,0.0,89.4,143.1,1.2,137.9,0.7,1.0,0.0
2021-01-02 15:00:00,7.2,0.0,89.3,78.7,1.6,61.6,1.5,1.0,0.0
2021-01-02 16:00:00,7.0,0.0,89.4,14.4,1.6,63.1,1.6,1.0,0.0
2021-01-02 17:00:00,7.1,0.0,90.0,0.0,1.3,77.0,1.1,1.0,0.0
2021-01-02 18:00:00,7.2,0.0,91.0,0.0,0.9,101.4,0.5,1.0,0.0
2021-01-02 19:00:00,7.1,0.0,90.5,0.0,1.1,58.5,0.8,1.0,0.0
2021-01-02 20:00:00,6.8,0.2,89.3,0.0,1.7,99.7,1.6,1.0,0.0
2021-01-02 21:00:00,6.6,0.0,89.4,0.0,2.5,102.3,2.3,1.0,0.0
2021-01-02 22:00:00,6.7,0.0,89.4,0.0,2.8,113.2,2.7,1.0,0.0
2021-01-02 23:00:00,7.0,0.0,86.3,0.0,3.3,125.5,3.0,1.0,0.0
2021-01-03 00:00:00,6.8,0.0,83.6,0.0,2.2,141.2,2.0,0.0,0.0
2021-01-03 01:00:00,6.6,0.0,81.5,0.0,2.9,207.0,2.4,0.0,0.0
2021-01-03 02:00:00,6.2,0.0,79.3,0.0,2.1,145.7,1.6,0.0,0.0
2021-01-03 03:00:00,5.3,0.0,82.3,0.0,1.4,98.1,1.3,0.0,0.0
2021-01-03 04:00:00,5.1,0.0,82.8,0.0,1.9,150.1,1.7,0.0,0.0
2021-01-03 05:00:00,4.9,0.2,80.3,0.0,1.2,123.5,0.9,1.0,0.0
2021-01-03 06:00:00,5.3,0.0,78.4,0.0,1.5,97.8,1.3,0.0,0.0
2021-01-03 07:00:00,4.8,0.0,81.1,0.0,1.1,89.8,1.1,0.0,0.0
2021-01-03 08:00:00,4.5,0.0,85.0,31.6,0.7,148.8,0.4,0.0,0.0
2021-01-03 09:00:00,5.4,0.0,82.4,98.7,1.4,222.0,0.5,0.0,0.0
2021-01-03 10:00:00,6.4,0.0,79.6,143.7,0.5,148.5,0.1,0.0,0.1
2021-01-03 11:00:00,7.1,0.0,79.3,174.3,1.0,285.0,0.5,0.0,0.1
2021-01-03 12:00:00,5.2,0.0,87.4,230.7,1.7,313.5,1.6,0.0,0.1
2021-01-03 13:00:00,5.9,0.0,87.1,151.6,1.3,288.9,1.0,0.0,0.1
2021-01-03 14:00:00,6.0,0.0,87.6,120.4,1.1,297.4,1.0,0.0,0.0
2021-01-03 15:00:00,5.7,0.0,90.4,62.7,1.6,274.2,1.5,0.0,0.0
2021-01-03 16:00:00,5.7,0.0,87.1,12.0,2.0,256.6,1.9,0.0,0.0
2021-01-03 17:00:00,5.4,0.0,84.7,0.0,1.7,258.9,1.6,0.0,0.0
2021-01-03 18:00:00,4.8,0.0,85.6,0.0,1.5,308.3,1.1,0.0,0.0
2021-01-03 19:00:00,4.5,0.0,85.7,0.0,1.8,248.7,1.6,0.0,0.0
2021-01-03 20:00:00,4.8,0.0,85.9,0.0,2.2,267.9,2.0,0.0,0.0
2021-01-03 21:00:00,4.7,0.0,86.7,0.0,1.7,260.5,1.5,0.0,0.0
2021-01-03 22:00:00,4.7,0.0,85.3,0.0,1.8,263.5,1.6,0.0,0.0
2021-01-03 23:00:00,4.7,0.0,87.0,0.0,2.1,260.1,1.9,0.0,0.0
2021-01-04 00:00:00,4.6,0.0,90.1,0.0,2.6,264.9,2.3,0.0,0.0
2021-01-04 01:00:00,4.7,0.0,90.1,0.0,2.7,271.9,2.4,0.0,0.0
2021-01-04 02:00:00,4.8,0.2,90.4,0.0,1.7,293.0,1.6,1.0,0.0
2021-01-04 03:00:00,4.8,0.0,91.0,0.0,1.3,299.1,1.1,1.0,0.0
